YEAR,COUNTY,5.1_FUGITIVE_AIR,5.2_STACK_AIR,5.3_WATER
2017,BERKELEY,6433,0,853
2017,COOK,1364,0,0
2017,JEFFERSON,77,0,0
2017,ATCHISON,5,1426,0
2017,OSBORNE,4156,11423,0
2017,SUMMIT,5900,2240,0
2017,GARVIN,0,0,0
2017,TRAVIS,0,270,0
2017,MILWAUKEE,1.4,56.3,0
2017,MACOMB,R,Pounds,5
2017,MACOMB,0,0,0
2017,MACOMB,4,0,0
2017,SHELBY,0,0,0
2017,HURON,R,Pounds,250
2017,DECATUR,0,0,0
2017,CALHOUN,NO,R,Pounds
2017,LOS ANGELES,0.0008,0.0482,0
2017,SHELBY,0,0,0.05
2017,LAKE,0.0038,0.0022,0
2017,WASHINGTON,180,39,0
2017,CALHOUN,2,0,0
2017,GALVESTON,Pounds,100,1300
2017,KENT,R,Pounds,207
2017,FAYETTE,0,2.8,0
2017,ESSEX,R,Pounds,0
2017,MERCER,9534.3,0,99.9
2017,HARRIS,R,Pounds,60
2017,ERIE,0,0,11
2017,LOGAN,8,0,0
2017,LOGAN,22,400,0
2017,SAN BERNARDINO,0,0,0
2017,NYE,0.3,1,0
2017,NYE,1.6,6.3,0
2017,WINNEBAGO,0,5,0
2017,BOONE,0,0,0
2017,BAMBERG,0,0,9.27
2017,FAIRFIELD,0,0,0
2017,NORTHAMPTON,10,619,0
2017,FULTON,54.2,9401.06,0
2017,KNOX,0,935,0
2017,JACKSON,6866,0,0
2017,FAIRFIELD,0,0.3969,0
2017,LORAIN,0,0,0
2017,EDGECOMBE,978,8803,0
2017,ROCK,15,97,0
2017,FORT BEND,0,0,0
2017,GALVESTON,1841,1844,0
2017,LOS ANGELES,5,5,0
2017,PICKAWAY,1.4,1.9,0
2017,JEFFERSON,0,220,1
2017,LIVINGSTON,10,0,0
2017,GREENE,0,10,0
2017,NUECES,R,Pounds,0
2017,HENNEPIN,5,2272,0
2017,MADISON,0,0,87.2
2017,FRANKLIN,0.858024,0.5854752,0
2017,CARROLL,343,101,0
2017,MUSKOGEE,0,0,0
2017,MCKINLEY,R,Pounds,809
2017,JEFFERSON,0,0,0
2017,DALLAS,135,25.6,0
2017,FLOYD,9,36,0
2017,MCLENNAN,841,82400,0.06
2017,GALVESTON,1,4500,0
2017,LIVE OAK,66,4,0
2017,HARRIS,45000,62000,0
2017,LAFAYETTE PARISH,2500,2583,0
2017,FAIRFIELD,0,0,0
2017,FLORENCE,0,0,0
2017,GASTON,250,2071,0
2017,JEFFERSON,0,0,0
2017,HAMPSHIRE,0,98,0
2017,NASSAU,314,161,0
2017,GARVIN,24686,17233,0
2017,ADAMS,A,Pounds,0
2017,HARRIS,250,5,0
2017,MCKINLEY,0,0,0
2017,PICKAWAY,22,112,0
2017,BRADLEY,0,0,0
2017,ONONDAGA,A,Pounds,0
2017,CUYAHOGA,0,0,0
2017,BLAIR,250,580,2
2017,BENTON,0,0,0
2017,LOS ANGELES,0,0,0
2017,BEADLE,0,0,0
2017,TODD,2000,1300,0
2017,ROCK,Pounds,5,1
2017,CRAWFORD,0,6.58,1
2017,JEFFERSON,5,540,0
2017,YORK,0,20,0
2017,WINONA,0,0,0
2017,CERRO GORDO,0,11,0
2017,JEFFERSON,3700,1500,0
2017,LORAIN,541,93,0
2017,LORAIN,0,14,0
2017,STORY,0,6020,0
2017,CHESTERFIELD,0,0,0
2017,COOKE,0.16,0.63,0
2017,IONIA,0,0,0
2017,PASSAIC,0,208,0
2017,HONOLULU,246.3,0,0
2017,HONOLULU,0,0,0
2017,HENNEPIN,5,1299,0
2017,MCKINLEY,7617,6095,0
2017,CABELL,54,1007,0
2017,YAKIMA,0,0,0
2017,UTAH,0,0,0
2017,EUREKA,0,0,0
2017,LOS ANGELES,8,8,14
2017,EL PASO,5,102,0
2017,ISABELLA,25,102,0
2017,BOULDER,1.11,0.287,0
2017,GARVIN,Pounds,0,1036
2017,HARRIS,0,0,0
2017,DUPLIN,0,0.91,0
2017,ST CHARLES PARISH,1,0,0
2017,ST CHARLES PARISH,138,51,0
2017,ST CHARLES PARISH,Pounds,27,0
2017,NEW CASTLE,0,0,145
2017,JEFFERSON,51,5,0
2017,NORFOLK,40,0,0
2017,DODGE,0.867,121.68,0
2017,ADAMS,0,0,0
2017,HARRISONBURG (CITY),0,0,0
2017,JEFFERSON,26.46,40.46,9.24
2017,GRUNDY,46,0.4,0
2017,MACOMB,6,0,0
2017,HENRY,0,0,0
2017,ORANGEBURG,0.5,0.5,0
2017,SHELBY,0,0,0
2017,BEAVER,0,0,49
2017,SAN DIEGO,0,0.26,0
2017,ORANGEBURG,0,62747,0
2017,VAN WERT,25,0,0
2017,GREENE,0,0,0
2017,NIAGARA,0,80,0
2017,COOK,0,0,0
2017,HENNEPIN,5,250,0
2017,HENDERSON,0,0,0
2017,ALBANY,49,25,0
2017,BAXTER,0,100,0
2017,CLEVELAND,Pounds,0,0
2017,LOS ANGELES,0,0,0
2017,FULTON,0,0,0
2017,MONTGOMERY,0,0,0
2017,FREDERICK,R,Pounds,0
2017,RUSSELL,0,6.36,0
2017,LIMESTONE,262,220,0
2017,FULTON,0,0,0
2017,HENRY,577.12,5991.77,0
2017,MARION,0,0,0
2017,MARION,0,0,0
2017,LANE,0,3.5,0.2
2017,PITTSYLVANIA,198.8,880,0
2017,HARRIS,3737,23267,0
2017,BROWN,1700,2400,0
2017,FAIRFIELD,61,1163,0
2017,BLOUNT,0,24,0
2017,WHITE,238,120,17
2017,DUPAGE,5,5,0
2017,HUTCHINSON,1279.4,520,0
2017,REPUBLIC,0,0,0
2017,COOK,0,250,0
2017,CALHOUN,618,933,0
2017,JEFFERSON,0,140,55
2017,GREENE,16.26,0,0
2017,DAVIS,200,560,0
2017,SAN DIEGO,0,784,0
2017,SANTA ROSA,0,20899,0
2017,DUVAL,0.51,11.8,0
2017,SALT LAKE,0,0,0
2017,CUYAHOGA,0,0,0
2017,MONTGOMERY,15454,0,0
2017,POTTAWATTAMIE,0,0,0
2017,KANAWHA,36,0,291554
2017,DUBOIS,0,0,0
2017,FLOYD,2.7,2.2,44.5
2017,RAMSEY,0.24,0,0
2017,MECKLENBURG,47.06,0,0
2017,WILL,5,0,0
2017,MANATEE,15600,0,0
2017,BROWN,1100,36000,150
2017,HARRIS,11000,30000,8
2017,BALTIMORE (CITY),1460.7,0,22.56
2017,HAWKINS,0,26684,0
2017,MERCER,1,62.6,190.6
2017,CUMBERLAND,0,0,0
2017,BARREN,0,5,0
2017,WAYNE,0,505,0
2017,CALCASIEU PARISH,4000,38000,15000
2017,DUVAL,R,Pounds,6
2017,BUTLER,91,8,0
2017,STEUBEN,0,0,0
2017,DUPAGE,0,0,0
2017,MERRICK,1500,77,0
2017,GEORGETOWN,144,7.8,18.4
2017,ST CHARLES PARISH,1200,5093,189
2017,ORANGEBURG,0,2,0
